id,title,createdAt
230153629,"早安,親",2018-11-27T01:57:57.222Z
230149214,回應-林佳龍為什麼會輸?,2018-11-26T11:16:19.818Z
230123338,以核養綠,2018-11-23T10:32:50.881Z
230123206,明天公投 我支持 以核養綠🌱,2018-11-23T10:13:21.963Z
230121358,📢支持16號以核養綠，物理人講給你聽--『核能不只是科學問題？』,2018-11-23T05:08:41.106Z
230118625,#新聞 選前最後衝刺 屏東縣長蘇清泉辦造勢晚會,2018-11-22T16:02:02.737Z
230115351,發現好用痘痘貼！超神奇,2018-11-22T07:42:50.039Z
230110879,黑特「空汙」沒路用的台中市長,2018-11-21T14:49:29.706Z
230106057,📣幫高調  回覆學術界不同意以核養綠連署 📣,2018-11-21T01:59:43.154Z
230103618,#1119 #高雄辯論 沒談到這個有點可惜......,2018-11-20T15:23:13.633Z
230098589,辯論就知道民進黨比較懂高雄 只是......,2018-11-20T01:29:26.117Z
230097210,高雄市長辯論會2懶人包,2018-11-19T16:45:59.436Z
230096483,#新聞 高雄市長辯論》反擊又老又窮說！ 韓國瑜拿資料打臉陳  也重砲批評民進黨執政高雄無能,2018-11-19T15:32:08.203Z
230089566,台灣版大躍進?2025非核家園的真相,2018-11-18T15:41:49.995Z
230088165,11/24選舉，請看清楚這些支持空汙法的官員們，該怎麼做你們懂得！,2018-11-18T12:15:33.262Z
230087451,火焰騎士,2018-11-18T09:59:57.614Z
230081638,台灣哪裡<em>空氣</em>最糟？,2018-11-17T11:58:41.332Z
230070268,公投,2018-11-15T15:15:39.281Z
230057715,來統計一下 我們學校有人廢核的嗎？,2018-11-13T16:59:28.728Z
230042700,#新聞 屏東縣長參選人蘇清泉參加「反空汙大遊行」管制源頭　還屏東縣民一口好<em>空氣</em>,2018-11-11T15:16:18.653Z
230035855,是男朋友的話，這是愛還是強暴,2018-11-10T15:40:02.2Z
230027056,#新聞 屏東空污嚴重 蘇清泉當選屏東縣長 全力改善屏東空污,2018-11-09T10:00:51.361Z
230019814,這幾天高雄的天空...,2018-11-08T08:45:47.587Z
229992098,#新聞 屏東縣長選戰／蘇清泉挾韓流打空汙,2018-11-04T14:08:34.373Z
229986585,挺高雄1111反空汙大遊行 蘇清泉：高屏一起翻轉,2018-11-03T15:50:49.512Z
229967672,關於韓國瑜的美夢,2018-10-31T19:28:23.436Z
229966956,#新聞 『<em>空氣</em><em>汙染</em>是這世紀的“新種香菸”』,2018-10-31T17:02:48.91Z
229963011,[投票之前] 民主不是權利，而是責任,2018-10-31T08:15:06.081Z
229944644,韓國瑜要打造高雄成為又年輕、又有錢的全台首富港都,2018-10-28T15:46:18.969Z
229939010,#公投#空污#核電#經濟#平權,2018-10-27T19:01:15.541Z
229937622,#新聞 賴清德：台中市長、市議員拚全部當選全壘打,2018-10-27T15:52:23.78Z
229937593,#新聞 挺林佳龍 賴清德：行政院投資台中3432億 推手不能換,2018-10-27T15:48:58.095Z
229931640,#創作【城門】但是我更喜歡妳,2018-10-26T17:25:05.706Z
229885961,敬覆莊秉潔：我們需要政治、媒體、群眾推疊的科學假說嗎？,2018-10-20T03:09:51.119Z
229834778,#新聞 中火4座燃媒機組　賴清德：2023年天然氣接替後退場,2018-10-12T05:56:57.292Z
229822941,#新聞 印度空汙怎麼解 建築公司：超大型<em>空氣</em>清淨機如何？,2018-10-10T09:51:19.697Z
229811215,觀塘換深澳急什麼？傳總統國慶要送這份大禮,2018-10-08T12:12:06.133Z
229721676,慎選跑步時機,2018-09-25T01:26:29.58Z
229719162,反核的大多是哪些人？,2018-09-24T14:13:01.523Z
229707048,一家烤肉萬家飄香 萬家烤肉地球遭殃,2018-09-22T16:07:34.864Z
229618775,為什麼要有YouBike,2018-09-10T22:50:32.865Z
229607951,#微雷 《全面霾伏》小格局災難片的驚喜之作,2018-09-09T12:38:16.401Z
229607112,非核家園=以火廢核,2018-09-09T10:28:12.373Z
229578104,民進黨逼迫人民用肺發電（內有強力論點）,2018-09-05T10:12:46.474Z
229576206,#新聞 乾淨的煤？拆穿深澳電廠的六大謊言,2018-09-05T03:57:06.191Z
229561932,不照騙！詐欺級偽素顏的秘訣是？ORBIS偽素顏保養組從內到外讓你自帶美肌！,2018-09-03T04:00:49.497Z
229542504,蔡政府收全世界的垃圾,2018-08-31T04:21:55.653Z
229533454,"為什麼""以核養綠""的曝光度較低?",2018-08-29T16:29:12.292Z
229524730,[以核養綠]台大校內連署點開張囉！,2018-08-28T12:25:55.745Z
229518151,以核養綠:也許我不懂核能，但我想改變我自己,2018-08-27T13:30:45.965Z
229511357,以核養綠其實是場鬧劇?,2018-08-26T12:49:29.323Z
229488528,#圖 誰會帶領居民抗議深澳電廠?,2018-08-23T02:44:33.521Z
229473745,#新聞 外交大勝？ 郭文貴：中國內部緊張 鼓勵高幹子女揭發父母,2018-08-20T16:35:03.405Z
229462993,空氣污染防制法在講啥？,2018-08-19T05:43:37.691Z
229408552,民進黨為什麼越來越自打嘴巴？,2018-08-10T14:28:55.407Z
229401999,#新聞 協和火力電廠空汙改善　居民：幾乎看不見煤渣,2018-08-09T13:44:06.541Z
229392403,#社論 風雨無阻創造美好生活,2018-08-08T01:45:36.839Z
229360429,#比較 高雄買房 不想再當無殼蝸牛！(內有選手),2018-08-02T09:33:39.202Z
229320189,Fresh the air 無車時刻，為了空氣污染我們發起了這項活動,2018-07-26T05:22:45.457Z
229304816,夏日太有事 五種保濕舒緩你的夏季熱,2018-07-23T12:39:44.52Z
229298453,#近聞 中油林園廠趁暴雨偷排廢氣,2018-07-22T11:18:57.892Z
229292563,<em>空氣</em><em>汙染</em>防制法之不合理修正！,2018-07-21T09:52:44.637Z
229290966,屏環保局)包庇餿水油 老農檢舉5次沒用,2018-07-21T02:56:01.228Z
229287106,苗栗即將成為下一個麥寮！？,2018-07-20T09:24:55.803Z
229265764,幫忙想書名🙇🙇🙇,2018-07-16T16:08:27.029Z
229203739,核能發電,2018-07-06T14:16:59.474Z
229199124,關於卸妝棉、化妝水,2018-07-05T16:32:42.524Z
229178873,高雄市長政見比較,2018-07-02T04:34:33.25Z
229178370,菜英文：台中空品好,2018-07-02T02:07:12.214Z
229177717,本週新聞,2018-07-01T19:53:17.234Z
229162754,#新聞 李應元：要改善支氣管 請二行程機車族先改善你的排氣管,2018-06-29T06:29:26.49Z
