id,title,school,createdAt
230169879,我是柯粉，支持丁守中驗票,國立臺灣大學,2018-11-29T06:36:36.361Z
230169845,TMD! 小夫是不是在恐嚇台灣民眾呀？,文藻外語大學,2018-11-29T06:30:48.209Z
230169831,普悠瑪事件,建國科技大學,2018-11-29T06:27:49.537Z
230169771,同性戀與異性戀-挺同與反同 相等嗎？,靜宜大學,2018-11-29T06:18:26.559Z
230169701,高雄之戰,慈濟大學,2018-11-29T06:05:16.399Z
230169654,東奧正名疑問,國立成功大學,2018-11-29T05:57:38.941Z
230169459,堅哥太可愛啦,國立高雄應用科技大學,2018-11-29T05:20:29.396Z
230169399,#新聞 撐過烽火500天 為何吳音寧不再是「大哥」最愛,長榮大學,2018-11-29T05:07:09.390Z
230169319,總統與總經理的情感關係？,國立臺灣海洋大學,2018-11-29T04:53:42.177Z
230169254,中美貿易戰 白宮經濟顧問：不看好G20特習會,加州大學洛杉磯分校,2018-11-29T04:42:39.290Z
230169217,賴神!,朝陽科技大學,2018-11-29T04:36:09.807Z
230169183,武劍：俄烏刻赤海峽沖突，開了一次危險的先例,哈爾濱工業大學,2018-11-29T04:28:59.663Z
230169127,國寶外借東京博物館遭矮化？故宮：未註明「國立」的海報出自中國網路,國立中央大學,2018-11-29T04:18:27.367Z
230168896,如果選舉無效真的成立,國立高雄大學,2018-11-29T03:34:32.045Z
230168795,經長 : 過2025「缺電」 指示評估核三延役,新加坡國立大學,2018-11-29T03:15:30.003Z
230168758,柯文哲選總統？,致理科技大學,2018-11-29T03:07:10.087Z
230168731,台中市市長盧秀燕讚,UBER,2018-11-29T03:01:55.503Z
230168710,台鐵及我們的政府令人失望透頂,南臺科技大學,2018-11-29T02:58:17.788Z
230168708,烏克蘭與俄羅斯的衝突帶給台灣的警示,國立中正大學,2018-11-29T02:58:00.157Z
230168670,韓才是有愛與包容的人,國立東華大學,2018-11-29T02:48:59.715Z
230168667,我們是否真的擁有投票自由？,東海大學,2018-11-29T02:48:30.505Z
230168606,民進黨就是堅持不要臉,輸得起的趴趴趴,2018-11-29T02:34:30.281Z
230168482,燃料棒費用能不能從民進黨中出,中國科技大學,2018-11-29T02:09:14.759Z
230168481,原來這就是柯所帶來的價值,淡江大學,2018-11-29T02:09:04.286Z
230168477,無照酒駕超速是不是馬路新三寶,低薪工程師,2018-11-29T02:07:58.144Z
230168434,#新聞 川普與習近平會晤在即，美國或尋求貿易戰熄火,長榮大學,2018-11-29T01:58:11.933Z
230168377,台北市重選的話,國立成功大學,2018-11-29T01:43:14.987Z
230168372,親共哥好意思拿馬油電雙漲幫蔡護航還一堆愛心呢,羊,2018-11-29T01:42:13.745Z
230168315,有沒有醫師cp值很高的八卦?,國立陽明大學,2018-11-29T01:28:22.047Z
230168307,公投看法,武漢大學,2018-11-29T01:26:00.881Z
230168243,台北市快重選吧！,東吳大學,2018-11-29T01:02:35.349Z
230168197,吵得沸沸揚揚的議題,碳酸納,2018-11-29T00:49:08.870Z
230168132,台灣人比中國人更和諧,高雄醫學大學,2018-11-29T00:21:50.428Z
230168079,受益中美貿易戰，彭博社：桃園再度重生,國立中央大學,2018-11-29T00:00:27.597Z
230168065,盧秀燕 mou,國防醫學院,2018-11-28T23:54:50.392Z
230168041,台灣發動文革之可行性,路人,2018-11-28T23:43:32.790Z
230168031,綠委：核廢料放同意票最多的縣市 這不就是搭便車效應嗎！？,國立臺北大學,2018-11-28T23:35:35.885Z
230167998,兩黨一個假獨一個假統,臺北醫學大學,2018-11-28T23:09:39.306Z
230167997,韓國瑜過去車禍過失致死 緩刑,實踐大學,2018-11-28T23:08:47.526Z
230167976,「以核養綠」公投通過　綠委：核廢料放同意票最多的縣市,修平科技大學,2018-11-28T22:42:49.863Z
230167656,為什麼國民黨候選人當選就是倒向中國？,東海大學,2018-11-28T18:46:06.200Z
230167565,談到年金嘛,國立金門大學,2018-11-28T18:25:22.736Z
230167420,盧秀燕的好你知道嗎,好聽的卡稱都被取走了,2018-11-28T17:57:13.570Z
230167316,流浪狗和放養的狗真的可以繼續放任嗎？,大葉大學,2018-11-28T17:34:40.574Z
230167049,柯文哲真的自帶流量,致理科技大學,2018-11-28T17:01:39.481Z
230166931,4.2們別再帶風向救蔡了啦,國立臺北大學,2018-11-28T16:48:19.142Z
230166859,偉哉 中華民國自由區選後的太平盛事,元培醫事科技大學,2018-11-28T16:41:15.662Z
230166804,對其邁改觀,國立雲林科技大學,2018-11-28T16:34:59.626Z
230166729,時事版簽到處,淡江大學,2018-11-28T16:27:43.568Z
230166581,慟！聽聞同志為公投失敗輕生 郵局職員竟冷血歡呼,世新大學,2018-11-28T16:11:17.331Z
230166565,伴侶盟到底是怎樣,國立交通大學,2018-11-28T16:09:29.053Z
230166378,異鄉人學生看韓國瑜,高雄醫學大學,2018-11-28T15:47:12.684Z
230166309,#疑問 為什麼這次沒誰贏沒誰輸,長榮大學,2018-11-28T15:37:29.611Z
230166211,南非武官一家遭陳進興挾持事件,國立臺灣藝術大學,2018-11-28T15:26:52.701Z
230166178,美國對台看法 轉貼,國立成功大學,2018-11-28T15:21:43.102Z
230166162,酒駕重罰公投,國立臺灣大學,2018-11-28T15:20:13.234Z
230166151,韓國瑜真的好嗎,國立嘉義大學,2018-11-28T15:18:47.653Z
230166100,吳音寧可以下台了嗎？,中山醫學大學,2018-11-28T15:11:26.409Z
230166042,開票創最慢紀錄？ 北市選委會：新北市、桃園市更慢,東吳大學,2018-11-28T15:06:04.041Z
230166023,連署虐待性侵未成年 加重刑罰且不得假釋？,學店化學渣,2018-11-28T15:03:48.125Z
230165942,台灣世代對立，中國文化大革命,國立雲林科技大學,2018-11-28T14:53:09.445Z
230165870,有關中華台北的問題,東海大學,2018-11-28T14:46:10.281Z
230165862,原來這次大選藍綠大變天是因為這樣...,世新大學,2018-11-28T14:44:57.271Z
230165853,丁丁要驗票？！,中國科技大學,2018-11-28T14:44:21.561Z
230165831,#新聞  網友「小商人」籲不投蕭家班　見蕭淑麗落選還酸恭喜當選市民,健行科技大學,2018-11-28T14:41:15.197Z
230165754,國寶借日本 海報故宮字樣「被消失」？原來在這裡,國立中央大學,2018-11-28T14:27:25.118Z
230165672,單純覺得感動,國立東華大學,2018-11-28T14:17:06.525Z
230165663,10/21 6432次普悠瑪新馬站翻覆,慈濟大學,2018-11-28T14:16:00.439Z
230165465,陸客不會再來台灣了,none,2018-11-28T13:52:23.164Z
230165377,徵求11/25蘋果日報九合一選舉報紙,國立聯合大學,2018-11-28T13:40:24.475Z
230165338,淺談台灣,國立勤益科技大學,2018-11-28T13:36:02.258Z
230165231,新潮流北農之爭,國立高雄師範大學,2018-11-28T13:23:02.282Z
230165189,拒絕下台是？,國立虎尾科技大學,2018-11-28T13:18:43.734Z
230165166,基因編輯嬰兒的製造者現身了！,國立陽明大學,2018-11-28T13:16:39.485Z
230165118,Re：【回文】我就是反同，又怎樣,中國醫藥大學,2018-11-28T13:09:56.501Z
230164985,#協助 公投連署附議,逢甲大學,2018-11-28T12:49:58.611Z
230164969,9.2 v.s 新南向,匿名,2018-11-28T12:47:00.212Z
230164957,獻給喜愛台灣的每個人,輔仁大學,2018-11-28T12:45:22.829Z
230164954,更/台鐵的踢皮球遊戲,逢甲大學,2018-11-28T12:45:13.533Z
230164747,#新聞 阻止韓國瑜計畫 瘋狂綠粉號召去高雄「騷擾罵陸客」,國立高雄科技大學,2018-11-28T12:16:34.261Z
230164721,2018台北市長得票率,明志科技大學,2018-11-28T12:13:24.394Z
230164715,#新聞 男子炫耀感染大學生艾滋病 專家:或涉刑事犯罪,中原大學,2018-11-28T12:12:24.051Z
230164699,都是蔣主動讓中華民國退出聯合國？,國立政治大學,2018-11-28T12:09:40.881Z
230164550,投票結束看了許多文章,健行科技大學,2018-11-28T11:48:05.508Z
230164378,改革不是錯，不會改還硬要改才該死,中國醫藥大學,2018-11-28T11:20:34.257Z
230164321,關於丁守中重新驗票,國立雲林科技大學,2018-11-28T11:10:29.347Z
230164291,盧市長英明,國立高雄應用科技大學,2018-11-28T11:04:51.736Z
230164263,一生監督你一人,國立臺灣藝術大學,2018-11-28T11:00:26.935Z
230164257,楊康這角色是不是影射台獨人士啊,中國科技大學,2018-11-28T10:59:46.792Z
230164233,盧秀燕啊,淡江大學,2018-11-28T10:54:53.342Z
230164231,中國大陸最重要的攝影師11月3日在新疆被當地國保帶走,Moc,2018-11-28T10:54:22.119Z
230164125,是不是非台中人一直想鼓吹山手線讓台中負債更多啊,國立成功大學,2018-11-28T10:37:32.159Z
230164118,九二共識就是沒有共識,國立臺灣藝術大學,2018-11-28T10:36:10.626Z
230164094,什麼是民主國家領導人的氣度？這就是。,Moc,2018-11-28T10:31:55.670Z
230164088,林進vs韓國瑜,國立東華大學,2018-11-28T10:31:00.233Z
